Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
proguard.classfile.attribute.visitor.RequiredAttributeFilter, 0.0, 0.0, NaN, 28.0, 28.0, 0.0, 
proguard.classfile.attribute.visitor.StackSizeComputer, 0.0, 0.0, NaN, 143.0, 142.0, 0.6993006993006929, 
proguard.classfile.constant.ClassConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.Constant, 0.0, 0.0, NaN, 2.0, 1.0, 50.0, 
proguard.classfile.constant.DoubleConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.FieldrefConstant, 5.0, 5.0, 0.0, 12.0, 8.0, 33.33333333333333, 
proguard.classfile.constant.FloatConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.IntegerConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.InterfaceMethodrefConstant, 5.0, 5.0, 0.0, 12.0, 10.0, 16.66666666666667, 
proguard.classfile.constant.InvokeDynamicConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.LongConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.MethodHandleConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.MethodTypeConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.MethodrefConstant, 5.0, 5.0, 0.0, 12.0, 8.0, 33.33333333333333, 
proguard.classfile.constant.ModuleConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.NameAndTypeConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.PackageConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.PrimitiveArrayConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.RefConstant, 1.0, 1.0, 0.0, 4.0, 3.0, 25.0, 
proguard.classfile.constant.StringConstant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.Utf8Constant, 1.0, 1.0, 0.0, 4.0, 4.0, 0.0, 
proguard.classfile.constant.visitor.AllConstantVisitor, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.constant.visitor.BootstrapMethodArgumentVisitor, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.constant.visitor.BootstrapMethodHandleTraveler, 0.0, 0.0, NaN, 143.0, 143.0, 0.0, 
proguard.classfile.constant.visitor.ConstantCounter, 0.0, 0.0, NaN, 143.0, 142.0, 0.6993006993006929, 
proguard.classfile.constant.visitor.ConstantTagFilter, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.constant.visitor.ConstantVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.constant.visitor.ExceptClassConstantFilter, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.constant.visitor.MethodrefTraveler, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
proguard.classfile.constant.visitor.PrimitiveArrayConstantElementVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.constant.visitor.PrimitiveArrayConstantVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.constant.visitor.SuperClassConstantVisitor, 0.0, 0.0, NaN, 2.0, 2.0, 0.0, 
proguard.classfile.editor.AccessFixer, 1.0, 1.0, 0.0, 144.0, 144.0, 0.0, 
proguard.classfile.editor.AnnotationAdder, 0.0, 0.0, NaN, 142.0, 142.0, 0.0, 
