Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
proguard.classfile.attribute.annotation.RuntimeVisibleParameterAnnotationsAttribute, 5.0, 5.0, 0.0, 5.0, 4.0, 20.0, 
proguard.classfile.attribute.annotation.RuntimeVisibleTypeAnnotationsAttribute, 4.0, 4.0, 0.0, 6.0, 4.0, 33.33333333333333, 
proguard.classfile.attribute.annotation.TypeAnnotation, 5.0, 5.0, 0.0, 6.0, 4.0, 33.33333333333333, 
proguard.classfile.attribute.annotation.TypeAnnotationsAttribute, 4.0, 4.0, 0.0, 5.0, 5.0, 0.0, 
proguard.classfile.attribute.annotation.TypePathInfo, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.annotation.target.CatchTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.EmptyTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.FormalParameterTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.LocalVariableTargetElement, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.annotation.target.LocalVariableTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.OffsetTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.SuperTypeTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.TargetInfo, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.annotation.target.ThrowsTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.TypeArgumentTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.TypeParameterBoundTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.TypeParameterTargetInfo, 1.0, 1.0, 0.0, 2.0, 2.0, 0.0, 
proguard.classfile.attribute.annotation.target.visitor.LocalVariableTargetElementVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.annotation.target.visitor.TargetInfoVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.annotation.visitor.AllAnnotationVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.annotation.visitor.AllElementValueVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.annotation.visitor.AnnotatedClassVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.annotation.visitor.AnnotationToMemberVisitor, 0.0, 0.0, NaN, 118.0, 118.0, 0.0, 
proguard.classfile.attribute.annotation.visitor.AnnotationTypeFilter, 0.0, 0.0, NaN, 1.0, 1.0, 0.0, 
proguard.classfile.attribute.annotation.visitor.AnnotationVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
proguard.classfile.attribute.annotation.visitor.ElementValueVisitor, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
