Class Name,Inherited Attributes,Unused Attributes,Used Attributes Percentage,Inherited Methods,Unused Methods,Used Methods Percentage
soc.message.SOCJoinAuth, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCJoinGame, 102.0, 102.0, 0.0, 15.0, 11.0, 26.66666666666667, 
soc.message.SOCJoinGameAuth, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCJoinGameRequest, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCLargestArmy, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCLastSettlement, 97.0, 97.0, 0.0, 12.0, 11.0, 8.333333333333329, 
soc.message.SOCLeave, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCLeaveAll, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCLeaveGame, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCLongestRoad, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMakeOffer, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMembers, 97.0, 97.0, 0.0, 11.0, 9.0, 18.181818181818187, 
soc.message.SOCMessage, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.message.SOCMessageForGame, 0.0, 0.0, NaN, 0.0, 0.0, NaN, 
soc.message.SOCMessageMulti, 97.0, 97.0, 0.0, 11.0, 11.0, 0.0, 
soc.message.SOCMessageTemplate0, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMessageTemplate1i, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMessageTemplate1s, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMessageTemplate2i, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMessageTemplate2s, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMessageTemplate3s, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMessageTemplate4i, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMessageTemplateJoinGame, 97.0, 97.0, 0.0, 12.0, 12.0, 0.0, 
soc.message.SOCMessageTemplateMi, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMessageTemplateMs, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMonopolyPick, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCMoveRobber, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCNewChannel, 97.0, 97.0, 0.0, 11.0, 10.0, 9.090909090909093, 
soc.message.SOCNewGame, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCNewGameWithOptions, 100.0, 100.0, 0.0, 14.0, 12.0, 14.285714285714292, 
soc.message.SOCNewGameWithOptionsRequest, 102.0, 102.0, 0.0, 15.0, 11.0, 26.66666666666667, 
soc.message.SOCPlayDevCardRequest, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCPlayerElement, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCPlayerElements, 99.0, 99.0, 0.0, 13.0, 13.0, 0.0, 
soc.message.SOCPlayerStats, 99.0, 99.0, 0.0, 13.0, 11.0, 15.384615384615387, 
soc.message.SOCPotentialSettlements, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
soc.message.SOCPutPiece, 97.0, 97.0, 0.0, 12.0, 10.0, 16.66666666666667, 
